RefittedSST,RefittedSST_2,PROPORTIONALRANK,HatchAsync,Chl,Chl_2,SST,SST_2,Event,BroodReduction,NIDO,WORKYEAR,DATE,Time0,Time
26.19600163333333,686.2305015736026,0.2576318,3,0.44651000918367345,0.19937118830120415,26.19600163333333,686.2305015736026,0,0,05-318,2005,2005-05-26,1,2
27.60962832,762.291575968546,0.2576318,3,0.44651000918367345,0.19937118830120415,27.60962832,762.291575968546,0,0,05-318,2005,2005-06-02,2,3
27.89664095,778.2225762932168,0.2576318,3,0.44651000918367345,0.19937118830120415,27.89664095,778.2225762932168,0,0,05-318,2005,2005-06-09,3,4
22.459405945,504.42491540230134,0.2576318,3,0.44651000918367345,0.19937118830120415,27.89664095,778.2225762932168,0,0,05-318,2005,2005-06-16,4,5
27.66966345,765.610275436266,0.2576318,3,0.304920430909091,0.09297646918578573,27.89664095,778.2225762932168,0,0,05-318,2005,2005-06-23,5,6
27.926948418000002,779.9144479416328,0.2576318,3,0.304920430909091,0.09297646918578573,27.926948418000002,779.9144479416328,0,0,05-318,2005,2005-06-30,6,7
27.873023605,776.9054448848872,0.2576318,3,0.304920430909091,0.09297646918578573,27.926948418000002,779.9144479416328,0,0,05-318,2005,2005-07-07,7,8
27.62889426,763.3557980302609,0.2576318,3,0.18987494414893602,0.036052494415561576,27.926948418000002,779.9144479416328,0,1,05-318,2005,2005-07-14,8,9
26.749533900000003,715.5375638672493,0.2576318,3,0.18987494414893602,0.036052494415561576,27.926948418000002,779.9144479416328,1,1,05-318,2005,2005-07-18,9,10
25.798662336666666,665.5709783613431,0.453373,3,0.5986604021200144,0.3583942770664973,25.798662336666666,665.5709783613431,0,0,07-405,2007,2007-03-20,1,2
24.348166942,592.8332334355016,0.453373,3,0.5986604021200144,0.3583942770664973,25.798662336666666,665.5709783613431,0,0,07-405,2007,2007-03-27,2,3
25.026730938,626.3372614430464,0.453373,3,0.5986604021200144,0.3583942770664973,25.798662336666666,665.5709783613431,0,0,07-405,2007,2007-04-03,3,4
24.67304097,608.7589507072985,0.453373,3,0.5023904043678165,0.2523961184008581,25.798662336666666,665.5709783613431,0,0,07-405,2007,2007-04-10,4,5
25.88440299,670.002318148721,0.453373,3,0.5023904043678165,0.2523961184008581,25.88440299,670.002318148721,0,0,07-405,2007,2007-04-17,5,6
25.458701582,648.1454862413293,0.453373,3,0.5023904043678165,0.2523961184008581,25.88440299,670.002318148721,0,0,07-405,2007,2007-04-24,6,7
